Time	Nup107-Mean	Nup107-STD	Nup93-Mean	Nup93-STD	Nup205-Mean	Nup205-STD	Nup62-Mean	Nup62-STD	SEH1-MEAN	SEH1-STD	Nup188-Mean	Nup188-STD
41	29.68861929	2.956270223	43.30968799	4.739631998	16.41572707	2.891926922	46.01917204	6.724872534	27.37366293	3.014773256	16.17231471	1.93454476
41.5	29.29550404	3.112770601	43.70731432	4.884106084	16.70037371	2.570490954	46.49632635	6.690173552	26.77109565	3.206126775	16.80857011	2.003485107
42	29.65632827	4.153755343	43.55267726	4.388069966	16.06209064	2.254037532	45.71491156	6.48596288	27.5031933	3.2533851	17.29935299	2.215496072
42.5	29.54411178	2.606420209	43.14483001	5.389177003	16.3138095	2.504280634	46.41006162	5.957052927	28.40013749	2.962993674	17.6108802	1.976952491
43	29.83295257	4.544392587	44.33723361	4.050298466	16.56609242	2.148484986	46.55709052	6.723232376	27.71687676	2.628412265	18.11275561	2.72230325
43.5	31.14807984	3.769951761	43.95222306	4.517815217	16.61087552	2.502947489	46.64870305	5.688298907	28.31693238	3.336661926	17.49919042	2.395150893
44	29.8421937	2.314051935	43.61458753	5.432714965	16.0600927	2.165265842	47.77597848	6.792355245	27.155097	2.601012432	16.75484476	1.991910011
44.5	30.08157317	3.829151863	44.09402993	4.451571708	16.1753178	2.491140988	47.35454983	6.042983558	28.08737607	2.801100092	17.91911774	2.458775606
45	28.98725337	2.57730827	44.14196623	5.058808291	17.10302008	2.039223308	47.59097484	6.05515969	28.255964	3.078049015	16.99116853	2.305379547
45.5	29.90012526	3.182605216	45.40020963	4.734798043	16.37186317	2.199894594	47.88060595	6.602801409	27.6998512	2.881659872	17.09294047	2.014628664
46	32.90307367	3.406935647	45.45241197	4.193061076	16.5791598	2.962895786	49.50728049	7.697877675	27.44354106	2.935270205	16.94879755	2.112999231
46.5	30.26513515	2.402702322	44.89101692	3.769042731	16.89877987	2.510642393	47.72714139	5.712528916	26.94754512	2.186410979	16.20403682	2.470276255
47	30.79355018	2.886174869	44.31599545	3.493912143	17.07952537	1.932380273	48.23337196	5.509974457	27.09521282	3.566745476	16.9741554	1.859417425
47.5	29.97210254	3.399568426	44.85654892	4.17112868	16.23631769	2.492716871	47.67828905	5.378711477	27.88656013	2.911623353	16.55531526	1.925541622
48	30.29816775	3.027726924	45.03393494	3.790510445	16.59480719	2.191404951	47.88096836	6.165697127	27.70188339	3.410681414	17.10217786	1.704228586
48.5	31.12523313	2.158988372	45.04953727	3.252960585	16.8876422	2.89825728	47.3377776	4.41614874	28.52658081	3.567008031	16.19284395	1.493069939
