,time_min,Pom121,Nup153,Nup107,Seh1,Nup205,Nup93,Nup62,Nup214,TPR,Nup358
151,75.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.588509994278997,19.545717437478014,10.154887518943719
152,76.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.607439230525717,19.545717437478014,10.165795024334635
153,76.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.607439230525717,19.545717437478014,10.176702529725553
154,77.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.607439230525717,19.545717437478014,10.187610035116471
155,77.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.607439230525717,19.545717437478014,10.198517540507387
156,78.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.626368466772437,19.545717437478014,10.198517540507387
157,78.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.626368466772437,19.545717437478014,10.209425045898303
158,79.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.626368466772437,19.545717437478014,10.220332551289221
159,79.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.626368466772437,19.545717437478014,10.231240056680136
160,80.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.645297703019157,19.545717437478014,10.242147562071054
161,80.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.645297703019157,19.545717437478014,10.253055067461972
162,81.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.645297703019157,19.545717437478014,10.263962572852888
163,81.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.645297703019157,19.545717437478014,10.263962572852888
164,82.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.645297703019157,19.545717437478014,10.274870078243804
165,82.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.664226939265877,19.545717437478014,10.28577758363472
166,83.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.664226939265877,19.545717437478014,10.29668508902564
167,83.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.617200906569636,18.664226939265877,19.545717437478014,10.29668508902564
168,84.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.664226939265877,19.545717437478014,10.307592594416557
169,84.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.664226939265877,19.545717437478014,10.318500099807473
170,85.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.683156175512597,19.545717437478014,10.329407605198389
171,85.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.683156175512597,19.545717437478014,10.329407605198389
172,86.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.683156175512597,19.545717437478014,10.340315110589307
173,86.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.683156175512597,19.545717437478014,10.351222615980223
174,87.0,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.683156175512597,19.545717437478014,10.351222615980223
175,87.5,22.78250401398807,29.751545970968504,32.236804617173405,29.434544093741156,16.753516531245634,46.48177352005033,46.663864771340975,18.702085411759317,19.545717437478014,10.362130121371141
